Image Name,Number of key points,difference between orginal keypoints and experiment
orginal,1465,335.0
experiment image: 0,1557,427.0
experiment image: 1,1665,535.0
experiment image: 2,1553,423.0
experiment image: 3,1472,342.0
experiment image: 4,1350,220.0
experiment image: 5,1464,334.0
experiment image: 6,1571,441.0
experiment image: 7,1673,543.0
experiment image: 8,1556,426.0
experiment image: 9,1485,355.0
experiment image: 10,1356,226.0
experiment image: 11,1463,333.0
experiment image: 12,1573,443.0
experiment image: 13,1653,523.0
experiment image: 14,1576,446.0
experiment image: 15,1474,344.0
experiment image: 16,1379,249.0
experiment image: 17,1474,344.0
experiment image: 18,1572,442.0
experiment image: 19,1651,521.0
experiment image: 20,1564,434.0
experiment image: 21,1490,360.0
