Image Name,Number of key points,difference between orginal keypoints and experiment
orginal,348211,14687.0
experiment image: 0,347562,15336.0
experiment image: 1,347164,15734.0
experiment image: 2,347653,15245.0
experiment image: 3,348127,14771.0
experiment image: 4,360712,2186.0
experiment image: 5,348318,14580.0
experiment image: 6,347583,15315.0
experiment image: 7,347147,15751.0
experiment image: 8,347602,15296.0
experiment image: 9,348121,14777.0
experiment image: 10,359588,3310.0
experiment image: 11,348300,14598.0
experiment image: 12,347575,15323.0
experiment image: 13,347121,15777.0
experiment image: 14,347641,15257.0
experiment image: 15,348099,14799.0
experiment image: 16,361633,1265.0
experiment image: 17,348310,14588.0
experiment image: 18,347577,15321.0
experiment image: 19,347137,15761.0
experiment image: 20,347633,15265.0
experiment image: 21,348021,14877.0
