Image Name,Number of key points,difference between orginal keypoints and experiment
orginal,86971,275927.0
experiment image: 0,104090,258808.0
experiment image: 1,120237,242661.0
experiment image: 2,138067,224831.0
experiment image: 3,156866,206032.0
experiment image: 4,177534,185364.0
experiment image: 5,199111,163787.0
experiment image: 6,221015,141883.0
experiment image: 7,244506,118392.0
experiment image: 8,269347,93551.0
experiment image: 9,294375,68523.0
experiment image: 10,320737,42161.0
experiment image: 11,362898,0.0
experiment image: 12,376411,13513.0
experiment image: 13,406666,43768.0
experiment image: 14,437475,74577.0
experiment image: 15,469768,106870.0
experiment image: 16,503335,140437.0
experiment image: 17,537865,174967.0
experiment image: 18,572307,209409.0
experiment image: 19,607466,244568.0
experiment image: 20,643145,280247.0
experiment image: 21,678582,315684.0
experiment image: 22,716192,353294.0
